name,image,class,subclass,tags,description,hp,hp_backed,hp_cooked,effect_cooked,quality_lvl,potential,duration_bonus_cooked,selling_price,selling_mon,dye_color,food_recipe,armor_upgrade,compendium_id,notes,buying_price,shop
Hydromelon,40px-BotW_Hydromelon_Icon.png?version=f978ce1fa3d5847835e9b8b8d2adbd03 (https://dl.airtable.com/HRH1AKWFRX2abMM2VupY_40px-BotW_Hydromelon_Icon.png%3Fversion%3Df978ce1fa3d5847835e9b8b8d2adbd03),Material,Fruit,,"This resilient fruit can flourish even in the heat of the desert. The hydrating liquid inside provides a cooling effect that, when cooked, increases your heat resistance.",0.5,0.75,1,Chilly,1,1,2:30,4,,Green,"Creamy Heart Soup, Roasted Hydromelon, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit",,,,,
Hylian Rice,40px-BotW_Hylian_Rice_Icon.png?version=67ff35ff78c2256e7bf73dc7e3f92c7c (https://dl.airtable.com/xilfDYIyTlq7VdCr4l4i_40px-BotW_Hylian_Rice_Icon.png%3Fversion%3D67ff35ff78c2256e7bf73dc7e3f92c7c),Material,Ingredient,,This grain is a favorite among residents of Kakariko Village. It's grown in regions with a lot of water and is quite versatile. Used as an ingredient in things like risotto and rice balls.,1,,2,,,,"First 1:00, 0:30",3,,White,"Crab Omelet with Rice, Crab Risotto, Curry Pilaf, Curry Rice, Fried Egg and Rice, Meat and Rice Bowl, Monster Curry, Monster Rice Balls, Seafood Fried Rice, Seafood Rice Balls, Gourmet Meat and Rice Bowl, Gourmet Meat Curry, Gourmet Poultry Curry, Gourmet Poultry Pilaf, Meat Curry, Meaty Rice Balls, Poultry Curry, Poultry Pilaf, Prime Meat and Rice Bowl, Prime Meat Curry, Prime Poultry Curry, Prime Poultry Pilaf, Salmon Risotto, Seafood Curry, Seafood Paella, Vegetable Curry, Vegetable Risotto, Veggie Rice Balls, Mushroom Rice Balls, Mushroom Risotto",,,,,
Hylian Shroom,40px-BotW_Hylian_Shroom_Icon.png?version=b145ea271a1ec9d7b6c4cecbc127fe68 (https://dl.airtable.com/I2fdKTqsSOWTm4nrS8no_40px-BotW_Hylian_Shroom_Icon.png%3Fversion%3Db145ea271a1ec9d7b6c4cecbc127fe68),Material,Shroom,,A common mushroom found near trees around Hyrule. Eat it to restore half a heart.,0.5,1.5,1,,,,0:30,3,,Red,"Toasty Hylian Shroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer",,,,,
Hyrule Bass,40px-BotW_Hyrule_Bass_Icon.png?version=6d153d631e20b31009495cd88f5582b5 (https://dl.airtable.com/w0ncsEZhTBallXFDMm8E_40px-BotW_Hyrule_Bass_Icon.png%3Fversion%3D6d153d631e20b31009495cd88f5582b5),Material,Seafood,Fish,"An ordinary fish that can be found all over Hyrule. Can be eaten raw, but cooking it amplifies its healing benefits.",1,1.5,2,,,,0:30,6,,,"Roasted Bass, Frozen Bass, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew","Zora Armor, Zora Greaves, Zora Helm",,,,
Hyrule Herb,40px-BotW_Hyrule_Herb_Icon.png?version=74879d91be4b07a1941bd3c9403aaa0d (https://dl.airtable.com/2CxV1OVAS9mqwIPb5rfY_40px-BotW_Hyrule_Herb_Icon.png%3Fversion%3D74879d91be4b07a1941bd3c9403aaa0d),Material,Plant,,This healthy herb grows abundantly in the plains of Hyrule. Cook it before eating to increase the number of hearts it restores.,1,,2,,,,0:30,3,,Green,,,,,,
Ice Keese Wing,40px-BotW_Ice_Keese_Wing_Icon.png?version=e5087b55cba9f7a15f3b75ce6fb2bf67 (https://dl.airtable.com/NH91crooQaKg0CTDpeXU_40px-BotW_Ice_Keese_Wing_Icon.png%3Fversion%3De5087b55cba9f7a15f3b75ce6fb2bf67),Material,Monster Part,,"A rare Ice Keese wing. Its frozen surface gleams attractively, but its usefulness isn't readily apparent.",,,,,2,,1:50,6,,Blue,,"Climber's Bandanna, Climbing Boots, Climbing Gear, Desert Voe Headband, Desert Voe Spaulder, Desert Voe Trousers",,,,
Ironshell Crab,40px-BotW_Ironshell_Crab_Icon.png?version=69394de000644b2812146bc61c0fdcaf (https://dl.airtable.com/PuZpoldbQImIBXu9axzd_40px-BotW_Ironshell_Crab_Icon.png%3Fversion%3D69394de000644b2812146bc61c0fdcaf),Material,Seafood,Crab,"This crab's shell is particularly hard. When cooked into a dish, its fat and meat bolster the body to increase your defense.",1,1.5,2,Tough,2,2,0:50,8,,,"Frozen Crab, Crab Omelet with Rice, Crab Risotto, Crab Stir-Fry, Blackened Crab, Salt-Grilled Crab, Seafood Skewer, Monster Stew",,,,,
Ironshroom,40px-BotW_Ironshroom_Icon.png?version=801508b2a09a990034b25413ec38e21e (https://dl.airtable.com/pRsjag1ySuOIqkVLv9JS_40px-BotW_Ironshroom_Icon.png%3Fversion%3D801508b2a09a990034b25413ec38e21e),Material,Shroom,,The cap of this mushroom is very hard. Use it when cooking to prepare a dish that increases your defense.,0.5,0.75,1,Tough,2,2,0:50,5,,Brown,"Toasty Ironshroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer",,,,,
Luminous Stone,40px-BotW_Luminous_Stone_Icon.png?version=e8208ff9cdc71c828ba9e502a3185b75 (https://dl.airtable.com/O9EFTt0QYGsUwmgFyl5g_40px-BotW_Luminous_Stone_Icon.png%3Fversion%3De8208ff9cdc71c828ba9e502a3185b75),Material,Ore,,"This mysterious mineral gives off a pale blue glow in the dark, which some believe to be souls of the undead. Apparently, this stone can be used as a base to make special clothing.",,,,,,,,70,,Navy,,"Radiant Mask, Radiant Shirt, Radiant Tights",,,,
Mighty Bananas,40px-BotW_Mighty_Bananas_Icon.png?version=0fd5ad8747af865d7e25b4cbe23ad6cf (https://dl.airtable.com/HO6sdITQipLtvo9Kt1NA_40px-BotW_Mighty_Bananas_Icon.png%3Fversion%3D0fd5ad8747af865d7e25b4cbe23ad6cf),Material,Fruit,,"This fruit grows mainly in tropical forests of the Faron region. When it's used as an ingredient, the resulting dish will temporarily increase your attack power.",0.5,0.75,1,Mighty,2,2,0:50,5,,Yellow,"Fried Bananas, Roasted Mighty Bananas, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit",,,,,
Mighty Carp,40px-BotW_Mighty_Carp_Icon.png?version=1d98e8fc2aeba6cffc6e39c768728aba (https://dl.airtable.com/3zhMI7CATUKJ5NwmCawy_40px-BotW_Mighty_Carp_Icon.png%3Fversion%3D1d98e8fc2aeba6cffc6e39c768728aba),Material,Seafood,Fish,This freshwater fish lives alongside its less mighty carp ilk. A compound in its liver promotes muscle growth. Dishes cooked with it will temporarily increase your attack power.,1,1.5,2,Mighty,2,2,0:50,10,,,"Roasted Carp, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew",,,,,
Mighty Porgy,40px-BotW_Mighty_Porgy_Icon.png?version=fd7af04d7d3a1637637865f06ef5d5b4 (https://dl.airtable.com/pbU3eZu6SKSjT2YadUmE_40px-BotW_Mighty_Porgy_Icon.png%3Fversion%3Dfd7af04d7d3a1637637865f06ef5d5b4),Material,Seafood,Fish,"This ocean-dwelling fish comes with one rude attitude. The compounds in its flesh elevate your competitive spirit when it's cooked into a dish, thus increasing your attack power.",1,1.5,2,Mighty,3,3,0:50,10,,,"Roasted Porgy, Porgy Meunière, Seafood Curry, Seafood Fried Rice, Seafood Paella, Salt-Grilled Fish, Monster Stew",,,,,
Mighty Thistle,40px-BotW_Mighty_Thistle_Icon.png?version=14aee83fbb68c0944bbf16f9f6c5915e (https://dl.airtable.com/bu8FnZ88RPCPU377kzEq_40px-BotW_Mighty_Thistle_Icon.png%3Fversion%3D14aee83fbb68c0944bbf16f9f6c5915e),Material,Plant,,This medicinal plant is known for its sharp thorns and for the fruit it bears. The fruit contains a compound that increases attack power when cooked into a dish.,,0.5,,Mighty,1,1,0:50,5,,Orange,Roasted Mighty Thistle,,,,,
Molduga Guts,40px-BotW_Molduga_Guts_Icon.png?version=ef3f03d700a3cc557e2d3a7234c70023 (https://dl.airtable.com/dvMpVriNSDeAIbUxIS0W_40px-BotW_Molduga_Guts_Icon.png%3Fversion%3Def3f03d700a3cc557e2d3a7234c70023),Material,Monster Part,,"A giant organ obtained from a Molduga. This invaluable ingredient is hard to come by, and its use is shrouded in mystery.",,,,,3,,3:10,110,,Green,,"Radiant Mask, Radiant Shirt, Radiant Tights, Sand Boots",,,,
Monster Extract,40px-BotW_Monster_Extract_Icon.png?version=02dc1eea88f9876b8ae3ab9fd0576e01 (https://dl.airtable.com/eIuPytwSriIfCIZrsqyR_40px-BotW_Monster_Extract_Icon.png%3Fversion%3D02dc1eea88f9876b8ae3ab9fd0576e01),Material,Ingredient,,"A result of Kilton's research into monsters, this suspicious spice can be used to punch up dishes while cooking. Apparently it can be used to make a number of monstrous meals.",,,13,,,,"1:00, 10:00, 30:00",3,,Purple,"Monster Cake, Monster Curry, Monster Rice Balls, Monster Soup, Monster Stew",,,Restores or removes a random number of Hearts,,
Naydra's Claw,40px-BotW_Naydra%27s_Claw_Icon.png?version=f0e6ee04bae7d404879d7ec2fa9fb628 (https://dl.airtable.com/uqF4gFhSSzeWWDGuFB8o_40px-BotW_Naydra%2527s_Claw_Icon.png%3Fversion%3Df0e6ee04bae7d404879d7ec2fa9fb628),Material,Monster Part,,"This valuable claw was plucked from the blue spirit Naydra. It was freezing cold before it was removed. You could sell it, but there must be some other use for it.",,,2,Bonus,2,,3:30,180,,,,"Fierce Deity Armor, Fierce Deity Boots, Fierce Deity Mask",,,,
Opal,40px-BotW_Opal_Icon.png?version=f42b4bbd6e9b3462a2ea4f01f76ba740 (https://dl.airtable.com/1wltLmK4RKW8oh8PFYuq_40px-BotW_Opal_Icon.png%3Fversion%3Df42b4bbd6e9b3462a2ea4f01f76ba740),Material,Ore,,A valuable ore that gives off a mesmerizing iridescence similar to the inside of a seashell. It contains the power of water.,,,,,,,,60,,Light,,"Cap of the Wind, Opal Earrings, Trousers of the Wind, Zora Armor, Zora Greaves, Zora Helm",,,,
Palm Fruit,40px-BotW_Palm_Fruit_Icon.png?version=74465612a26bbd5683f68a6208392406 (https://dl.airtable.com/ZJsepLZxTKS7wl4fiTG5_40px-BotW_Palm_Fruit_Icon.png%3Fversion%3D74465612a26bbd5683f68a6208392406),Material,Fruit,,Fruit from palm trees that grow near the ocean. It doesn't offer any special effects but will increase your heart recovery when used as an ingredient.,1,1.5,2,,,,0:30,4,,Light,"Baked Palm Fruit, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit",,,,,
Raw Bird Thigh,40px-BotW_Raw_Bird_Thigh_Icon.png?version=fabefae3540167f5c6b54358896cee9c (https://dl.airtable.com/XZPlWWtEQgiksjsLcq26_40px-BotW_Raw_Bird_Thigh_Icon.png%3Fversion%3Dfabefae3540167f5c6b54358896cee9c),Material,Meat,Poultry,"A high-quality piece of meat that's hard to come by. You can eat it raw, but cooking it first will recover more hearts.",1.5,2.25,3,,,,0:30,15,,,"Frozen Bird Thigh, Prime Poultry Curry, Prime Poultry Pilaf, Roasted Bird Thigh, Spicy Pepper Steak, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew",,,,,
Raw Bird Drumstick,40px-BotW_Raw_Bird_Drumstick_Icon.png?version=c9f64898a5ab5cba6e19ae42283689f6 (https://dl.airtable.com/meMyRgKbQ7KV0B71oemY_40px-BotW_Raw_Bird_Drumstick_Icon.png%3Fversion%3Dc9f64898a5ab5cba6e19ae42283689f6),Material,Meat,Poultry,This meat is tougher and chewier than a standard steak. Tastes better cooked.,1,1.5,2,,,,0:30,8,,,"Frozen Bird Drumstick, Poultry Curry, Poultry Pilaf, Roasted Bird Drumstick, Meat Stew, Salt-Grilled Meat, Spicy Pepper Steak, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew",,,,,
Raw Gourmet Meat,40px-BotW_Raw_Gourmet_Meat_Icon.png?version=f2b9421e994859b79a58defdf57af73c (https://dl.airtable.com/eAFui5KS9mDEdrJj4Vhb_40px-BotW_Raw_Gourmet_Meat_Icon.png%3Fversion%3Df2b9421e994859b79a58defdf57af73c),Material,Meat,Red Meat,"This prized cut of meat is usually from a large animal. Any connoisseur would rank this tender, juicy cut of meat ""gourmet."" Expect an exquisite meal when cooking with this.",3,4.5,6,,,,0:30,35,,,"Icy Gourmet Meat, Gourmet Meat and Rice Bowl, Gourmet Meat Curry, Gourmet Spiced Meat Skewer, Seared Gourmet Steak, Spicy Pepper Steak, Gourmet Meat and Seafood Fry, Salt-Grilled Gourmet Meat, Gourmet Meat Stew, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew",,,,,
Raw Meat,40px-BotW_Raw_Meat_Icon.png?version=3cf6eb0e0a53ec54c853cd0286695f62 (https://dl.airtable.com/LYKf0uRMQmP26OP4QAgR_40px-BotW_Raw_Meat_Icon.png%3Fversion%3D3cf6eb0e0a53ec54c853cd0286695f62),Material,Meat,Red Meat,"Meat obtained from animals in plains and forests. You can eat it raw, but cooking it will make it more delicious and nutritious.",1,1.5,2,,,,0:30,8,,,"Icy Meat, Meat Curry, Seared Steak, Meat Stew, Salt-Grilled Meat, Spiced Meat Skewer, Spicy Pepper Steak, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew",,,,,
Raw Prime Meat,40px-BotW_Raw_Prime_Meat_Icon.png?version=ef3699d90a2f4ead213606011ea6e8d3 (https://dl.airtable.com/PEUHmC0QQGuxVjXniMsn_40px-BotW_Raw_Prime_Meat_Icon.png%3Fversion%3Def3699d90a2f4ead213606011ea6e8d3),Material,Meat,Red Meat,"A fresh, high-quality piece of animal meat. This stuff isn't easy to come by, so savor it. Cook it to recover more hearts.",1.5,2.25,3,,,,0:30,15,,,"Icy Prime Meat, Prime Meat and Rice Bowl, Prime Meat Curry, Prime Spiced Meat Skewer, Seared Prime Steak, Spicy Pepper Steak, Salt-Grilled Prime Meat, Prime Meat and Seafood Fry, Prime Meat Stew, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew",,,,,
Raw Whole Bird,40px-BotW_Raw_Whole_Bird_Icon.png?version=50ecdf55db940aa7c407d77eb1ff27ff (https://dl.airtable.com/f25irSN0TcKLW0nCeMoG_40px-BotW_Raw_Whole_Bird_Icon.png%3Fversion%3D50ecdf55db940aa7c407d77eb1ff27ff),Material,Meat,Poultry,"This prized meat can be obtained from certain birds. It gets full points for flavor, nutrition, and volume. It pairs perfectly with other ingredients or can be enjoyed alone.",3,4.5,6,,,,0:30,35,,,"Frozen Whole Bird, Gourmet Poultry Curry, Gourmet Poultry Pilaf, Roasted Whole Bird, Spicy Pepper Steak, Meat & Mushroom Skewer, Energizing Glazed Meat, Meat and Rice Bowl, Meat Pie, Meat Skewer, Copious Meat Skewers, Meaty Rice Balls, Tough Meat-Stuffed Pumpkin, Monster Stew",,,,,
Razorclaw Crab,40px-BotW_Razorclaw_Crab_Icon.png?version=c619894df45838299674a139eef09c60 (https://dl.airtable.com/B5odCUQTKKXU8ni91E1s_40px-BotW_Razorclaw_Crab_Icon.png%3Fversion%3Dc619894df45838299674a139eef09c60),Material,Seafood,Crab,"This crab is well known for its exceptionally sharp pincers. When cooked, the strength compound in its claws will increase your attack power.",1,1.5,2,Mighty,2,2,0:50,8,,,"Frozen Crab, Crab Omelet with Rice, Crab Risotto, Crab Stir-Fry, Blackened Crab, Salt-Grilled Crab, Seafood Skewer, Monster Stew",,,,,
Razorshroom,40px-BotW_Razorshroom_Icon.png?version=96a917d626f1c9e3ca7437e0fb68319a (https://dl.airtable.com/ZSZPikr4SiS4QYNReig8_40px-BotW_Razorshroom_Icon.png%3Fversion%3D96a917d626f1c9e3ca7437e0fb68319a),Material,Shroom,,This mushroom is known for the natural slice in its cap. Eating it fosters your competitive spirit. Use it when cooking to prepare a dish that will increase your strength.,0.5,0.75,1,Mighty,2,2,0:50,5,,Crimson,"Toasty Razorshroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer",,,,,
Restless Cricket,40px-BotW_Restless_Cricket_Icon.png?version=0ebdd2b66ad6afb3847dd47dd03813fa (https://dl.airtable.com/qucg1HbfSPadrkTTHgDv_40px-BotW_Restless_Cricket_Icon.png%3Fversion%3D0ebdd2b66ad6afb3847dd47dd03813fa),Material,Critter,,A very energetic cricket. Cook it with monster parts to create a stamina-recovery elixir.,,,,Energizing,1,1,,2,,Green,"Energizing Elixir, Dubious Food",,,,,
Rock Salt,40px-BotW_Rock_Salt_Icon.png?version=2270b9b533c2b197c7f1091ae8044fe8 (https://dl.airtable.com/jfHJDb8RVeeSae7YX0Ug_40px-BotW_Rock_Salt_Icon.png%3Fversion%3D2270b9b533c2b197c7f1091ae8044fe8),Material,Ore,,Crystallized salt from the ancient sea commonly used to season meals. Cannot be eaten in this form.,,,,,,,"First 1:00, 0:30",2,,Peach,"Salt-Grilled Crab, Salt-Grilled Fish, Salt-Grilled Gourmet Meat, Salt-Grilled Meat, Crab Omelet with Rice, Crab Risotto, Cream of Mushroom Soup, Cream of Vegetable Soup, Creamy Meat Soup, Creamy Seafood Soup, Fish Pie, Gourmet Meat and Rice Bowl, Meat and Rice Bowl, Meat Pie, Monster Rice Balls, Prime Meat and Rice Bowl, Salmon Risotto, Salt-Grilled Greens, Salt-Grilled Prime Meat, Seafood Fried Rice, Vegetable Omelet, Vegetable Risotto, Veggie Cream Soup, Wheat Bread, Salt-Grilled Mushrooms, Mushroom Omelet, Mushroom Risotto",,,,,
Ruby,40px-BotW_Ruby_Icon.png?version=a177b11134518d5a5816945146e30517 (https://dl.airtable.com/uFaK9Z5R1eZMZfm8tbyg_40px-BotW_Ruby_Icon.png%3Fversion%3Da177b11134518d5a5816945146e30517),Material,Ore,,A precious red gem mined from large ore deposits found throughout Hyrule. Rubies contain the power of fire and have fetched a high price since ancient times.,,,,,,,,210,,Red,,"Cap of the Hero, Ruby Circlet, Snowquill Headdress, Snowquill Trousers, Snowquill Tunic, Trousers of the Hero, Tunic of the Hero",,,,
Rugged Rhino Beetle,40px-BotW_Rugged_Rhino_Beetle_Icon.png?version=30c8304613efc544ebbc85b1a2c93e85 (https://dl.airtable.com/34X07FzzTmre4QWCA6HU_40px-BotW_Rugged_Rhino_Beetle_Icon.png%3Fversion%3D30c8304613efc544ebbc85b1a2c93e85),Material,Critter,,"This beetle's hard body resembles armor. When the shell is cooked with monster parts, the resulting elixir boosts your defense.",,,,Tough,1,1,0:50,4,,Green,"Tough Elixir, Dubious Food",,,,,
Rushroom,40px-BotW_Rushroom_Icon.png?version=3e133b0a38cf6b0811f0b417c6a36806 (https://dl.airtable.com/3gRkifKXTEaw05y05Z5g_40px-BotW_Rushroom_Icon.png%3Fversion%3D3e133b0a38cf6b0811f0b417c6a36806),Material,Shroom,,A mushroom that can grow almost anywhere but prefers ceilings and sheer cliffs. Cook it before eating to temporarily increase your movement speed.,0.5,0.75,1,Hasty,1,1,1:00,3,,Purple,"Toasty Rushroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer","Climber's Bandanna, Climbing Boots, Climbing Gear, Sand Boots, Snow Boots",,,,
Sanke Carp,40px-BotW_Sanke_Carp_Icon.png?version=bf3b29da38787354248b80312512b74d (https://dl.airtable.com/4WzjhxRFu94hH5mwHigR_40px-BotW_Sanke_Carp_Icon.png%3Fversion%3Dbf3b29da38787354248b80312512b74d),Material,Seafood,Fish,This wild armored carp has been bred into a prizewinning fish. Its beautifully colored markings do not occur in nature. It offers no special effects when cooked.,1,1.5,2,,,,0:30,20,,Blue,"Frozen Carp, Roasted Carp, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew",,,,,
Sapphire,40px-BotW_Sapphire_Icon.png?version=8193ad257f8efcdce98aa70ad008b3cf (https://dl.airtable.com/xxbezfNbTUGpe0g10leC_40px-BotW_Sapphire_Icon.png%3Fversion%3D8193ad257f8efcdce98aa70ad008b3cf),Material,Ore,,A precious blue gem mined from natural rock formations. Sapphires contain the very essence of ice. They've been known to fetch a high price since ancient times.,,,,,,,,260,,,,"Cap of the Sky, Desert Voe Headband, Desert Voe Spaulder, Desert Voe Trousers, Sapphire Circlet, Trousers of the Sky, Tunic of the Sky",,,,
Silent Princess,40px-BotW_Silent_Princess_Icon.png?version=ddc64ed4a4ff53bb1e6f2f681c30cddf (https://dl.airtable.com/T58THcgS0ippUolaXCWQ_40px-BotW_Silent_Princess_Icon.png%3Fversion%3Dddc64ed4a4ff53bb1e6f2f681c30cddf),Material,Plant,,"This lovely flower was said to have been a favorite of the princess of Hyrule. Once feared to have gone extinct, it's recently been spotted growing in the wild.",,,2,Sneaky,3,3,2:00,10,,White,,"Champion's Tunic, Stealth Chest Guard, Stealth Mask, Stealth Tights, Sheik's Mask",,,,
Silent Shroom,40px-BotW_Silent_Shroom_Icon.png?version=b681c6f5906b180f0ee3cf6f1ecf4772 (https://dl.airtable.com/aqgZtDzMTkS5hfkkLIR1_40px-BotW_Silent_Shroom_Icon.png%3Fversion%3Db681c6f5906b180f0ee3cf6f1ecf4772),Material,Shroom,,"A strange mushroom that glows quietly in the forest at night. Cooking it into a dish unlocks the nutrients in its cap, resulting in a meal that will allow you to move stealthily.",0.5,0.75,1,Sneaky,2,2,2:00,3,,Light Blue,"Toasty Silent Shroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer","Stealth Chest Guard, Stealth Mask, Stealth Tights",,,,
Sizzlefin Trout,40px-BotW_Sizzlefin_Trout_Icon.png?version=82ff273d381349a1026afa8d37531270 (https://dl.airtable.com/OJAT8vxSSqmtHp0LRj8D_40px-BotW_Sizzlefin_Trout_Icon.png%3Fversion%3D82ff273d381349a1026afa8d37531270),Material,Seafood,Fish,"This red trout prefers warm bodies of water. It has a special organ specifically for storing heat. When cooked into a dish, it temporarily boosts your resistance to the cold.",1,1.5,2,Spicy,3,3,2:30,6,,,"Frozen Trout, Roasted Trout, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew",,,,,
Smotherwing Butterfly,40px-BotW_Smotherwing_Butterfly_Icon.png?version=162b85fc5bef4a7d4801d88ecf792dda (https://dl.airtable.com/z60pwEneR3mCN0XI32nA_40px-BotW_Smotherwing_Butterfly_Icon.png%3Fversion%3D162b85fc5bef4a7d4801d88ecf792dda),Material,Critter,,"This rare butterfly lives in volcanic regions. Its body contains a heat-resistant liquid, which can be turned into a topical elixir that offers resistance to flames.",,,,Fireproof,2,2,2:30,2,,,"Fireproof Elixir, Dubious Food","Flamebreaker Armor, Flamebreaker Boots, Flamebreaker Helm",,,,
Sneaky River Snail,40px-BotW_Sneaky_River_Snail_Icon.png?version=ec07829ea5871f4a8a07018e823d410a (https://dl.airtable.com/AQrfaNU6TUyWSoztVkty_40px-BotW_Sneaky_River_Snail_Icon.png%3Fversion%3Dec07829ea5871f4a8a07018e823d410a),Material,Seafood,Snail,"This large, glow-in-the-dark snail lives in fresh water. When cooked into a dish, it heightens your senses so you can move about silently.",1,1.5,2,Sneaky,1,1,2:00,6,,,"Frozen River Snail, Sneaky River Escargot, Salt-Grilled Fish, Seafood Skewer, Monster Stew","Stealth Chest Guard, Stealth Mask, Stealth Tights",,,,
Spicy Pepper,40px-BotW_Spicy_Pepper_Icon.png?version=e70777c8f4375afc283334e681a3c870 (https://dl.airtable.com/8APrqcxRpeaguQFcVjxB_40px-BotW_Spicy_Pepper_Icon.png%3Fversion%3De70777c8f4375afc283334e681a3c870),Material,Fruit,,This pepper is exploding with spice. Cook with it to create dishes that will raise your body temperature and help you withstand the cold.,0.5,0.75,1,Spicy,1,1,2:30,3,,Red,"Pepper Seafood, Spicy Pepper Steak, Spicy Sautéed Peppers, Charred Pepper, Fruit and Mushroom Mix, Simmered Fruit, Fruit Pie, Fruitcake, Honeyed Fruits, Copious Simmered Fruit",,,,,
Stamella Shroom,40px-BotW_Stamella_Shroom_Icon.png?version=a4e3a9e10cf5eaa11cce957648bbd94c (https://dl.airtable.com/47u9O3szRPeqqFrl0RgZ_40px-BotW_Stamella_Shroom_Icon.png%3Fversion%3Da4e3a9e10cf5eaa11cce957648bbd94c),Material,Shroom,,A green mushroom that grows near trees in the forest. It's chock-full of natural energy. Cook it to release its stamina-restoration properties.,0.5,1.5,1,Energizing,1,1,,5,,Green,"Toasty Stamella Shroom, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer",,,,,
Staminoka Bass,40px-BotW_Staminoka_Bass_Icon.png?version=1761b562f18720a60e0b750b67b5913e (https://dl.airtable.com/VHKABuiiSQ2yXICJDzpv_40px-BotW_Staminoka_Bass_Icon.png%3Fversion%3D1761b562f18720a60e0b750b67b5913e),Material,Seafood,Fish,This Hyrule bass got to be the biggest fish by never getting caught (until now). Its long life results in a cooked dish that will restore a lot of stamina.,1,1.5,2,Energizing,3,5,,18,,,"Roasted Bass, Frozen Bass, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew",,,,,
Star Fragment,40px-BotW_Star_Fragment_Icon.png?version=8bebd1fc65b5913cf667a6634482adf8 (https://dl.airtable.com/hEKvmUIkQNqQVYMSzuif_40px-BotW_Star_Fragment_Icon.png%3Fversion%3D8bebd1fc65b5913cf667a6634482adf8),Material,Ingredient,,"A mysterious stone fragment that fell from the sky. It looks like it would fetch a good price, but you may be able to use it in certain recipes as well.",,,,Bonus,,,0:30,300,,White,,"Cap of the Hero, Cap of the Sky, Cap of the Wild, Cap of the Wind, Cap of Time, Cap of Twilight, Diamond Circlet, Ruby Circlet, Sapphire Circlet, Sheik's Mask, Topaz Earrings, Trousers of the Hero, Trousers of the Sky, Trousers of the Wild, Trousers of the Wind, Trousers of Time, Trousers of Twilight, Tunic of the Hero, Tunic of the Sky, Tunic of the Wild, Tunic of the Wind, Tunic of Time, Tunic of Twilight",,Random bonus,,
